complex_name,complex_type,complex_address,approximate_units
Oak Pointe,Condominium,379 N 700 E,0.0
Oak Pointe,Condominium,361 N 700 E,0.0
Old Mill Towne,Condominium,722 W 1720 N,0.0
Old Mill Towne,Condominium,724 W 1720 N,0.0
Old Mill Towne,Condominium,718 W 1720 N,0.0
Paradise Park,Condominium,441 W 400 N,0.0
Pinecrest Place,Condominium,432 N 500 E ,0.0
Promenade,Condominium,888 E 820 N,0.0
Promenade,Condominium,761 N 900 E,0.0
Riverside Avenue,Condominium,1559 N Riverside Avenue,0.0
Riverside Avenue,Condominium,1533 N Riverside Avenue,0.0
Riverside Avenue,Condominium,1547 N Riverside Avenue,0.0
Santa Barbara Villa,Condominium,752 E 560 N,0.0
Santa Barbara Villa,Condominium,778 E 560 N,0.0
Santa Barbara Villa,Condominium,529 E 790 E,0.0
Santa Barbara Villa,Condominium,516 N 720 E,0.0
Santa Barbara Villa,Condominium,542 N 720 E,0.0
Sierra,Condominium,241 E 400 N,0.0
Somerset,Condominium,905 N 150 E,0.0
Stonebridge,Condominium,761 E 900 N,0.0
Stonebridge II,Condominium,151 E 300 N,0.0
SummerLynn,Condominium,239 E 300 N,0.0
Temple Lane,Condominium,240 E 2230 N,0.0
The Avenues,Condominium,836 N Univeristy Avenue,0.0
The Avenues,Condominium,851 N 50 E,0.0
The Reynolds,Condominium,466 N 400 E,0.0
Timpanogos Gateway Condominiums,Condominium,1963 N Canyon Road,0.0
Timpanogos Gateway Condominiums,Condominium,1931 N Canyon Road,0.0
University Anenue,Condominium,539 N University Avenue,0.0
University Anenue,Condominium,567 N University Avenue,0.0
University Anenue,Condominium,591 N University Avenue,0.0
Victoria Place,Condominium,284 E 600 N,0.0
Washington Condo,Condominium,825 N 900 E,0.0
Wellington II Condo,Condominium,732 N 800 E,0.0
Windsor Arms West Condo,Condominium,744 E 750 N,0.0
Windsor Park Condo,Condominium,108 W 1230 N,0.0
Windsor Park Condo,Condominium,98 W 1230 N,0.0
Windsor Park Condo,Condominium,146 W 1230 N,0.0
Winter Quarters Condo,Condominium,769 N 200 E,0.0
